title,price,location,link,description
Fishman LoudBox Artist with amp cover,150.00,"Brooklyn, NY",https://newyork.craigslist.org/brk/msg/d/brooklyn-fishman-loudbox-artist-with/7873438359.html,"Fishman LoudBox Artist - for Acoustic or Electric guitars, keys I paid $799.99 for this new, pickup in brooklyn ny zipcode 11234 Cash only, pickup only, you can come try it out, no trades see photos ask any questions Compatible Devices	Guitar Output Wattage	120 Number of Bands	3 Speaker Size	8 Inches Power Source	Corded Electric Output Channel Quantity	2 Amplifier Type	Solid State Connector Type	1/4"" jack or XLR"
Tone King Falcon Amp with Cover and Footswitch,1000.00,"Brooklyn, NY",https://newyork.craigslist.org/brk/msg/d/brooklyn-tone-king-falcon-amp-with/7873439784.html,"I paid $2000 for this brand new I am the original owner, smoke free pet free home comes with the cover and footswitch with the wire cash only no trades you can come try it out it is pickup only in zipcode 11234 see photos ask any questions Tone King Falcon Grande 20-watt Tube Combo Features: 20-watt tube amp with 3 switchable vintage voicings Tweed, Rhythm, and Lead voicings offer varying headroom and tonal characteristics 1 x 12"" custom-voiced Eminence speaker Onboard spring reverb is tunable with Mix and Dwell controls Ironman II power attenuator brings the cranked Falcon Grande to a manageable level Included 4-button footswitch selects voicings and engages the reverb Specially tuned speaker cabinet with Acoustic Lens technology to tame harsh high end SPECS: Type:	Tube Number of Channels:	1 Output Power:	20W, Built-in variable attenuator Speaker Size:	1 x 12"" Eminence Ceramic mag speaker Preamp Tubes:	2 x 12AX7A Power Tubes:	2 x 5881 Reverb:	Spring Reverb EQ:	Tone control, 3-way voicing switch Inputs:	2 x 1/4"" (high, low) Footswitch I/O:	1 x 4-pin XLR (voicing, reverb) Footswitch Included:	Yes, 4-button footswitch Bias Type:	Cathode Biased Construction Material:	Black Tolex Power Source:	Standard IEC AC cable Height:	18.75"" Width:	21.5"" Depth:	11.25"" Weight:	34 lbs. Manufacturer Part Number:	Falcon Grande - Black"
Evans FET 500 - Amp -- pedal steel,400.00,"Brooklyn, NY",https://newyork.craigslist.org/brk/msg/d/brooklyn-evans-fet-amp-pedal-steel/7873008401.html,"Incredible solid state amp from EVANS. This thing is considered THE amp for pedal steel...sounds great for guitar too!1x15"" Black Shadow speaker...sounds huge and clean! No issues whatsoever...great condition overall! I bought this used on CL about 5 years ago, and it shortly died thereafter. I ended up shipping it Darrell Stevens, the maker/designer of Evans Amps and had him rebuild it. So, it's about as ""new"" of an Evans that you're going to find...should be good to go for many years!"
Ampeg Gemini 2 - Amp Amplifier,700.00,"Brooklyn, NY",https://newyork.craigslist.org/brk/msg/d/brooklyn-ampeg-gemini-amp-amplifier/7873008434.html,Amazing Vintage Gemini II from the mid 60s. It's in great shape...tolex is great...was recently given a clean bill of health from my tech...and sounds fantastic. 1x15 with original Jensen. NOS power tubes recently put in. Only bummer is that the trem is not working. Reverb sounds great! would trade for a 60's Gibson Falcon or Epiphone Pathfinder Fender Ampeg Blackface Silverface Tweed
Roland KC60 1x10 40W Keyboard Amp For Sale,125.00,"Brooklyn, NY",https://newyork.craigslist.org/brk/msg/d/brooklyn-roland-kc60-1x10-40w-keyboard/7868679044.html,Roland KC60 1x10 40W Keyboard Amp For Sale The KC-60 3-Channel Mixing Keyboard Amplifier. With three separate channels - including an XLR Microphone input and stereo Auxiliary input - the KC-60 is one of the most flexible amps around. This affordable 40-watt amp is also the first to feature a Subwoofer output for enhanced low end. Selling For $125 OBO Mint!
Wells amp NYC 5:00 shadow,750.00,"Brooklyn, NY",https://newyork.craigslist.org/brk/msg/d/brooklyn-wells-amp-nyc-500-shadow/7872107062.html,"No trades. Price is non negotiable. Rare fuzz face style fuzz. As used by Monster Magnet. Built by amp guru Matt Wells. Only a handful were made. Works perfectly. Massive fuzz that cleans up with your guitar volume. Low gain fuzz setting is a rhythm players dream. Sounds just as good going through a clean fender or an overdriven Marshall. Chase Bliss, analogman, fulltone, distortion, overdrive, electronic, boogie, tonebender."
Electric guitar with fender amp (all wires included),350.00,"Brooklyn, NY",https://newyork.craigslist.org/brk/msg/d/brooklyn-electric-guitar-with-fender/7874364620.html,"Comes with a guitar case for transportation. Preferably come to my apartment and pick it up I can take cash, Apple Pay, Zelle, and cashapp Apple Pay or cash preferred"
Caroline The Blues “Expensive Amp” Pedal,100.00,"Brooklyn, NY",https://newyork.craigslist.org/brk/msg/d/brooklyn-caroline-the-blues-expensive/7860148574.html,"Great sounding blues pedal in excellent condition. Cash Only, no exceptions. https://carolineguitar.com/product/theblues/ Other gear available: Meris Hedra Pedal $200 Meris Ottobit Pedal $200 Vertex Steel String Supreme Pedal $175 Fairfield Circuitry Meet Maude Delay Pedal $250 Elektron Analog Four MKII $1000 Klark Teknik 76-KT Compressor $150 Warm TB12 Tone Beast (Black) Preamp $450 ELAC Debut 2.0 6.2 Speakers $250 Pro-Ject: Debut Carbon EVO Turntable $350 Vintage Tandberg TR 2055 Stereo Receiver $400 Click see more from this user for above listings."
"Orange AD30TC 30W 2x12 Tube Combo Amp – Loud, Mighty, & Classic",800.00,"Brooklyn, NY",https://newyork.craigslist.org/brk/msg/d/brooklyn-orange-ad30tc-30w-2x12-tube/7830505069.html,"In amazing shape, this two channel all tube combo amplifer by Orange is LOUD. The two channels are slightly different, one a little beefier the other more mid focused. Includes brand new channel foot-switch. Open to trades for Guitars etc. Thanks for looking! Keywords: Orange amps, guitar amp, tube amp, vintage gear, celestian speakers, amplifer, guitar, vintage"
Roland KC60 1x10 40W Keyboard Amp For Sale,125.00,"Brooklyn, NY",https://newyork.craigslist.org/brk/msg/d/brooklyn-roland-kc60-1x10-40w-keyboard/7869391116.html,Roland KC60 1x10 40W Keyboard Amp For Sale The KC-60 3-Channel Mixing Keyboard Amplifier. With three separate channels—including an XLR Microphone input and stereo Auxiliary input—the KC-60 is one of the most flexible amps around. This affordable 40-watt amp is also the first to feature a Subwoofer output for enhanced low end. Selling For $125 OBO Mint!
